-------------Ranking-----------------
Retweets: 7168 	 id: 1119970723273908224 	 change: 274
Retweets: 177 	 id: 1119879182610157568 	 change: 3
-------------Ranking-----------------
Retweets: 7919 	 id: 1119970723273908224 	 change: 108
Retweets: 1088 	 id: 1119947246210957312 	 change: 102
Retweets: 1107 	 id: 1119519500724924416 	 change: 14
Retweets: 282 	 id: 1119879008735252480 	 change: 8
Retweets: 82 	 id: 1119947557713485824 	 change: 4
Retweets: 5701 	 id: 1119534133028376576 	 change: 4
Retweets: 180 	 id: 1119879182610157568 	 change: 3
Retweets: 619 	 id: 1119562464926953472 	 change: 3
Retweets: 347 	 id: 1119871640261709824 	 change: 2
Retweets: 42799 	 id: 1119855123503534080 	 change: 2
-------------Ranking-----------------
Retweets: 1201 	 id: 1119947246210957312 	 change: 113
Retweets: 8016 	 id: 1119970723273908224 	 change: 97
Retweets: 1129 	 id: 1119519500724924416 	 change: 22
Retweets: 290 	 id: 1119879008735252480 	 change: 8
Retweets: 352 	 id: 1119871640261709824 	 change: 5
Retweets: 1137 	 id: 1119518215170691072 	 change: 3
Retweets: 182 	 id: 1119879182610157568 	 change: 2
Retweets: 621 	 id: 1119562464926953472 	 change: 2
Retweets: 889 	 id: 1119556310473646081 	 change: 2
Retweets: 5703 	 id: 1119534133028376576 	 change: 2
-------------Ranking-----------------
Retweets: 1327 	 id: 1119947246210957312 	 change: 126
Retweets: 8108 	 id: 1119970723273908224 	 change: 92
Retweets: 1140 	 id: 1119519500724924416 	 change: 11
Retweets: 300 	 id: 1119879008735252480 	 change: 10
Retweets: 626 	 id: 1119562464926953472 	 change: 5
Retweets: 1140 	 id: 1119518215170691072 	 change: 3
Retweets: 354 	 id: 1119871640261709824 	 change: 2
Retweets: 503 	 id: 1119552080501301248 	 change: 2

